video_id,description,view_count,like_count,comment_count,share_count,upload_date,hashtags,url,scraped_at,video_type
7399008613269867809,please get me to 10k🙏🙏😭 #foryou #roadto10k #followtrain #payoffdebt #teamwork #10k ,3211,221,127,1,2024-08-03T20:12:25+00:00,"[""foryou"", ""roadto10k"", ""followtrain"", ""payoffdebt"", ""teamwork"", ""10k""]",https://www.tiktok.com/@ichbinnelo/video/7399008613269867809,2026-05-26T22:41:16.850279+00:00,Personal Finance
7398587121545579809,"please get me to 10k guy, I will follow back🙏 #teamwork #payoffdebt #followtrain #roadto10k #foryou ",1021,160,55,4,2024-08-02T16:56:51+00:00,"[""teamwork"", ""payoffdebt"", ""followtrain"", ""roadto10k"", ""foryou""]",https://www.tiktok.com/@ichbinnelo/video/7398587121545579809,2026-05-26T22:41:16.850279+00:00,Personal Finance
7397719374435454241,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7397719374435454241,2026-05-26T14:28:09.824027+00:00,Unknown
7397403744545115425,#teamwork #followtrain #payoffdebt #following #roadto10k #10k #followback #foryoupage #fyp ,657,121,34,0,2024-07-30T12:24:43+00:00,"[""teamwork"", ""followtrain"", ""payoffdebt"", ""following"", ""roadto10k"", ""10k"", ""followback"", ""foryoupage"", ""fyp""]",https://www.tiktok.com/@ichbinnelo/video/7397403744545115425,2026-05-26T22:41:16.850279+00:00,Personal Finance
7397038256723938593,#10k #teamwork #payoffdebt #followtrain #roadto10k #foryoupage #foryou #fürdich ,889,144,49,1,2024-07-29T12:46:29+00:00,"[""10k"", ""teamwork"", ""payoffdebt"", ""followtrain"", ""roadto10k"", ""foryoupage"", ""foryou"", ""f\u00fcrdich""]",https://www.tiktok.com/@ichbinnelo/video/7397038256723938593,2026-05-26T22:41:16.850279+00:00,Personal Finance
7396156690418208033,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7396156690418208033,2026-05-26T14:28:09.849323+00:00,Unknown
7395939616953584928,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7395939616953584928,2026-05-26T14:28:09.854610+00:00,Unknown
7395524707388312865,#followtrain #payoffdebt #teamwork #roadto10k #10k #fürdich #foryou #foryoupage #fyp #growmyaccount ,3209,280,148,39,2024-07-25T10:53:04+00:00,"[""followtrain"", ""payoffdebt"", ""teamwork"", ""roadto10k"", ""10k"", ""f\u00fcrdich"", ""foryou"", ""foryoupage"", ""fyp"", ""growmyaccount""]",https://www.tiktok.com/@ichbinnelo/video/7395524707388312865,2026-05-26T22:41:16.850279+00:00,Personal Finance
7394776624283143457,follow me so that i can show you some beautiful towns in Germany😍 #10k #foryou #roadto10k #teamwork #payoffdebt #followtrain #growmyaccount #fürdich ,3530,270,136,49,2024-07-23T10:30:11+00:00,"[""10k"", ""foryou"", ""roadto10k"", ""teamwork"", ""payoffdebt"", ""followtrain"", ""growmyaccount"", ""f\u00fcrdich""]",https://www.tiktok.com/@ichbinnelo/video/7394776624283143457,2026-05-26T22:41:16.850279+00:00,Personal Finance
7394034543717518625,"teamwork, everyone #fyp #followtrain #foryoupage #payoffdebt #teamwork #roadto10k #roadto10k #foryou #10k #growmyaccount ",3262,241,129,1,2024-07-21T10:30:30+00:00,"[""fyp"", ""followtrain"", ""foryoupage"", ""payoffdebt"", ""teamwork"", ""roadto10k"", ""roadto10k"", ""foryou"", ""10k"", ""growmyaccount""]",https://www.tiktok.com/@ichbinnelo/video/7394034543717518625,2026-05-26T22:41:16.850279+00:00,Personal Finance
7393665358424460576,Let's go again guys💜💜 #10k #foryou #roadto10k #teamwork #payoffdebt #followtrain #foryoupage #fyp ,994,173,69,0,2024-07-20T10:37:54+00:00,"[""10k"", ""foryou"", ""roadto10k"", ""teamwork"", ""payoffdebt"", ""followtrain"", ""foryoupage"", ""fyp""]",https://www.tiktok.com/@ichbinnelo/video/7393665358424460576,2026-05-26T22:41:16.850279+00:00,Personal Finance
7393258581706984737,#CapCut #followtrain #payoffdebt #teamwork #roadto10k #roadto10k #foryou #10k ,822,139,42,0,2024-07-19T08:19:28+00:00,"[""CapCut"", ""followtrain"", ""payoffdebt"", ""teamwork"", ""roadto10k"", ""roadto10k"", ""foryou"", ""10k""]",https://www.tiktok.com/@ichbinnelo/video/7393258581706984737,2026-05-26T22:41:16.850279+00:00,Personal Finance
